Designator,Mid X,Mid Y,Rotation,Layer
DL1,140.738,-98.223,270.0,bottom
DL10,136.8772,-68.2764,270.0,bottom
DL11,133.9308,-98.1214,270.0,bottom
DL12,133.753,-90.7046,270.0,bottom
DL13,133.8546,-83.5164,270.0,bottom
DL14,133.577565,-76.093348,270.0,bottom
DL15,133.6006,-68.124,270.0,bottom
DL16,33.9818,-97.8928,171.0,bottom
DL17,134.134,-105.2588,270.0,bottom
DL18,137.2582,-105.1826,270.0,bottom
DL19,140.6364,-105.1572,270.0,bottom
DL2,140.677565,-90.496348,270.0,bottom
DL3,140.677565,-83.292348,270.0,bottom
DL4,140.677565,-76.093348,270.0,bottom
DL5,140.5094,-68.251,270.0,bottom
DL6,137.2328,-98.223,270.0,bottom
DL7,137.127565,-90.496348,270.0,bottom
DL8,137.127565,-83.297348,270.0,bottom
DL9,137.127565,-76.093348,270.0,bottom
DR1,166.2142,-97.9182,270.0,bottom
DR10,162.836,-68.8098,270.0,bottom
DR11,159.6102,-97.9182,270.0,bottom
DR12,159.661,-91.0602,270.0,bottom
DR13,159.322435,-83.297348,270.0,bottom
DR14,159.322435,-76.093348,270.0,bottom
DR15,159.3308,-68.7844,270.0,bottom
DR16,266.0,-98.5,10.0,bottom
DR17,165.9094,-105.1064,270.0,bottom
DR18,162.963,-105.208,270.0,bottom
DR19,159.322435,-104.894348,270.0,bottom
DR2,166.422435,-90.6792,270.0,bottom
DR3,166.422435,-83.297348,270.0,bottom
DR4,166.422435,-76.093348,270.0,bottom
DR5,166.4682,-68.7082,270.0,bottom
DR6,162.9376,-97.9182,270.0,bottom
DR7,163.0138,-90.9078,270.0,bottom
DR8,162.872435,-83.297348,270.0,bottom
DR9,162.872435,-76.093348,270.0,bottom
J1,139.669549,-50.782904,279.0,bottom
J2,160.275458,-50.743226,261.0,bottom
SWL1,44.760461,-79.884049,350.0,bottom
SWL10,122.379205,-81.724769,0.0,bottom
SWL11,50.664575,-113.367947,350.0,bottom
SWL12,67.819829,-97.95764,356.0,bottom
SWL13,86.379229,-87.568408,0.0,bottom
SWL14,104.379241,-96.004887,0.0,bottom
SWL15,122.379205,-98.724989,0.0,bottom
SWL16,31.562517,-108.975996,350.0,bottom
SWL17,106.175867,-117.79,30.0,bottom
SWL18,121.953384,-130.180913,45.0,bottom
SWL19,131.421871,-148.0578,45.0,bottom
SWL2,65.448078,-64.040023,356.0,bottom
SWL3,86.379229,-53.567968,0.0,bottom
SWL4,104.379241,-62.004447,0.0,bottom
SWL5,122.379205,-64.724549,0.0,bottom
SWL6,47.712517,-96.625996,350.0,bottom
SWL7,66.633954,-80.998831,356.0,bottom
SWL8,86.379229,-70.568188,0.0,bottom
SWL9,104.379241,-79.004667,0.0,bottom
SWR1,256.613697,-79.900996,10.0,bottom
SWR10,180.003285,-81.809847,0.0,bottom
SWR11,250.709583,-113.384893,10.0,bottom
SWR12,234.09554,-97.964284,4.0,bottom
SWR13,216.003165,-87.568408,0.0,bottom
SWR14,198.003205,-96.004887,0.0,bottom
SWR15,180.003285,-98.810067,0.0,bottom
SWR16,269.763697,-108.975996,10.0,bottom
SWR17,195.20214,-117.54,330.0,bottom
SWR18,178.939127,-129.815633,315.0,bottom
SWR19,168.97647,-147.410799,315.0,bottom
SWR2,236.467291,-64.046667,4.0,bottom
SWR3,216.003165,-53.567968,0.0,bottom
SWR4,198.003205,-62.004447,0.0,bottom
SWR5,180.003245,-64.724549,0.0,bottom
SWR6,253.661638,-96.642945,10.0,bottom
SWR7,235.281416,-81.005476,4.0,bottom
SWR8,216.003165,-70.568188,0.0,bottom
SWR9,198.003205,-79.004667,0.0,bottom
U1,33.560754,-58.697559,279.0,bottom
U2,266.225661,-58.799369,81.0,bottom
