Designator,Mid X,Mid Y,Rotation,Layer
C1,53.839,-58.67,180.0,bottom
C10,52.889,-62.71,180.0,bottom
C11,41.159,-61.43,0.0,bottom
C12,44.939,-57.41,180.0,bottom
C13,43.219,-67.04,270.0,bottom
C14,52.889,-63.93,180.0,bottom
C15,40.969,-60.29,90.0,bottom
C16,53.359,-54.74,180.0,bottom
C17,41.169,-62.18,0.0,bottom
C2,54.829,-62.99,0.0,bottom
C3,41.959,-64.53,180.0,bottom
C4,42.249,-65.93,180.0,bottom
C5,47.899,-57.44,0.0,bottom
C6,33.049,-70.5,270.0,bottom
C7,44.539,-67.13,270.0,bottom
C8,180.459,-51.29,270.0,bottom
C9,48.369,-67.01,270.0,bottom
D1,40.349,-68.02,90.0,bottom
DL1,140.738,-98.223,270.0,bottom
DL10,137.3852,-69.1654,270.0,bottom
DL11,134.388,-98.1722,270.0,bottom
DL12,134.1594,-90.6284,270.0,bottom
DL13,134.261,-83.5926,270.0,bottom
DL14,134.134,-76.093348,270.0,bottom
DL15,134.0324,-68.9368,270.0,bottom
DL16,33.9818,-97.8928,171.0,bottom
DL17,134.4388,-105.208,270.0,bottom
DL18,137.2582,-105.1826,270.0,bottom
DL19,140.6364,-105.1572,270.0,bottom
DL2,140.677565,-90.496348,270.0,bottom
DL3,140.677565,-83.292348,270.0,bottom
DL4,140.677565,-76.093348,270.0,bottom
DL5,140.8396,-69.2924,270.0,bottom
DL6,137.2328,-98.223,270.0,bottom
DL7,137.3344,-90.6792,270.0,bottom
DL8,137.4614,-83.5926,270.0,bottom
DL9,137.3852,-76.1758,270.0,bottom
DR1,165.9856,-98.0198,270.0,bottom
DR10,162.836,-68.8098,270.0,bottom
DR11,159.6102,-97.9182,270.0,bottom
DR12,159.661,-91.0602,270.0,bottom
DR13,159.322435,-83.297348,270.0,bottom
DR14,159.322435,-76.093348,270.0,bottom
DR15,159.3308,-68.7844,270.0,bottom
DR16,266.0,-98.5,10.0,bottom
DR17,165.9094,-105.1064,270.0,bottom
DR18,162.963,-105.208,270.0,bottom
DR19,159.322435,-104.894348,270.0,bottom
DR2,166.422435,-90.6792,270.0,bottom
DR3,166.422435,-83.297348,270.0,bottom
DR4,166.422435,-76.093348,270.0,bottom
DR5,166.4682,-68.7082,270.0,bottom
DR6,162.9376,-97.9182,270.0,bottom
DR7,163.0138,-90.9078,270.0,bottom
DR8,162.872435,-83.297348,270.0,bottom
DR9,162.872435,-76.093348,270.0,bottom
J1,139.479,-57.67,270.0,bottom
J2,34.299,-62.83,90.0,bottom
J3,160.264,-57.68,90.0,bottom
R1,54.819,-62.21,180.0,bottom
R10,39.839,-60.65,180.0,bottom
R11,133.069,-58.53,90.0,bottom
R12,133.069,-57.08,270.0,bottom
R13,189.029,-48.31,180.0,bottom
R2,189.069,-49.94,0.0,bottom
R3,52.849,-64.73,0.0,bottom
R4,41.669,-62.96,180.0,bottom
R5,41.679,-63.72,0.0,bottom
R6,34.319,-69.06,0.0,bottom
R7,42.009,-55.075,90.0,bottom
R8,38.219,-54.75,180.0,bottom
R9,39.969,-64.88,180.0,bottom
S1,34.529,-53.15,90.0,bottom
SWL1,44.760461,-79.884049,350.0,bottom
SWL10,122.379205,-81.724769,0.0,bottom
SWL11,50.664575,-113.367947,350.0,bottom
SWL12,67.819829,-97.95764,356.0,bottom
SWL13,86.379229,-87.568408,0.0,bottom
SWL14,104.379241,-96.004887,0.0,bottom
SWL15,122.379205,-98.724989,0.0,bottom
SWL16,31.562517,-108.975996,350.0,bottom
SWL17,106.175867,-117.79,30.0,bottom
SWL18,121.953384,-130.180913,45.0,bottom
SWL19,131.421871,-148.0578,45.0,bottom
SWL2,65.448078,-64.040023,356.0,bottom
SWL3,86.379229,-53.567968,0.0,bottom
SWL4,104.379241,-62.004447,0.0,bottom
SWL5,122.379205,-64.724549,0.0,bottom
SWL6,47.712517,-96.625996,350.0,bottom
SWL7,66.633954,-80.998831,356.0,bottom
SWL8,86.379229,-70.568188,0.0,bottom
SWL9,104.379241,-79.004667,0.0,bottom
SWR1,256.613698,-79.900996,10.0,bottom
SWR10,180.003285,-81.809847,0.0,bottom
SWR11,250.709584,-113.384893,10.0,bottom
SWR12,234.09554,-97.964284,4.0,bottom
SWR13,216.003165,-87.568408,0.0,bottom
SWR14,198.003205,-96.004887,0.0,bottom
SWR15,180.003285,-98.810067,0.0,bottom
SWR16,269.763698,-108.975996,10.0,bottom
SWR17,195.20214,-117.54,330.0,bottom
SWR18,178.939127,-129.815633,315.0,bottom
SWR19,168.97647,-147.410799,315.0,bottom
SWR2,236.467291,-64.046667,4.0,bottom
SWR3,216.003165,-53.567968,0.0,bottom
SWR4,198.003205,-62.004447,0.0,bottom
SWR5,180.003245,-64.724549,0.0,bottom
SWR6,253.661639,-96.642945,10.0,bottom
SWR7,235.281416,-81.005476,4.0,bottom
SWR8,216.003165,-70.568188,0.0,bottom
SWR9,198.003205,-79.004667,0.0,bottom
U1,35.639,-71.31,0.0,bottom
U2,47.219,-62.09,0.0,bottom
U3,47.909,-52.59,180.0,bottom
U5,184.619,-51.585,180.0,bottom
Y1,54.119,-60.46,180.0,bottom
